"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"368","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:51:33,FALSE,NA,"855222437587308544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miguelito_culey",351,TRUE,FALSE,NA,NA
"369","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:51:11,FALSE,NA,"855222346776367104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jazminuribe5",351,TRUE,FALSE,NA,NA
"370","RT @beaufilms: ""And in this moment I swear, we are infinite.‚Äù

The Perks of Being a Wallflower (2012) https://t.co/GvOajSOSVU",FALSE,0,NA,2017-04-21 00:50:18,FALSE,NA,"855222124335611904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Amber_Rose08",381,TRUE,FALSE,NA,NA
"371","RT @MoviezQuote: The Perks of Being a Wallflower https://t.co/PBkRiStgiU",FALSE,0,NA,2017-04-21 00:50:11,FALSE,NA,"855222095739072512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Y2Q_HFC",330,TRUE,FALSE,NA,NA
"372","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:50:07,FALSE,NA,"855222078894731264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fancyrus4ever",351,TRUE,FALSE,NA,NA
"373","RT @fiImart: ‚ÄúThings change. And friends leave. Life doesn't stop for anybody.‚Äù 

The Perks of Being a Wallflower (2012) https://t.co/Xbewe‚Ä¶",FALSE,0,NA,2017-04-21 00:48:05,FALSE,NA,"855221568057880576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LouisMyCupOfTea",799,TRUE,FALSE,NA,NA
"374","RT @fiImart: ‚ÄúThings change. And friends leave. Life doesn't stop for anybody.‚Äù 

The Perks of Being a Wallflower (2012) https://t.co/Xbewe‚Ä¶",FALSE,0,NA,2017-04-21 00:47:49,FALSE,NA,"855221500793769984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marilia_plm1",799,TRUE,FALSE,NA,NA
"375","RT @fiImart: ‚ÄúThings change. And friends leave. Life doesn't stop for anybody.‚Äù 

The Perks of Being a Wallflower (2012) https://t.co/Xbewe‚Ä¶",FALSE,0,NA,2017-04-21 00:47:29,FALSE,NA,"855221414512734208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isacatx4",799,TRUE,FALSE,NA,NA
"376","RT @filmagraphy: The Perks of Being A Wallflower (2012) https://t.co/eEBTnZK08g",FALSE,0,NA,2017-04-21 00:45:12,FALSE,NA,"855220841256288256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","voidhvc",1167,TRUE,FALSE,NA,NA
"377","RT @MovieMemorie: The Perks of Being a Wallflower https://t.co/8wbZmzT7hH",FALSE,0,NA,2017-04-21 00:43:46,FALSE,NA,"855220481846149120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tieyhaziz",884,TRUE,FALSE,NA,NA
"378","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:41:45,FALSE,NA,"855219973177958401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tyrabushart_",351,TRUE,FALSE,NA,NA
"379","The homecoming scene from perks of being a wallflower",FALSE,5,NA,2017-04-21 00:32:46,FALSE,NA,"855217712246644736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordyn__l",0,FALSE,FALSE,NA,NA
"380","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:31:45,FALSE,NA,"855217457035968517",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","80s_RealKat",351,TRUE,FALSE,NA,NA
"381","Does anybody else agree with me that the guy out of perks of being a wallflower looks like cammy or is it just me who sees this Ì†ΩÌ∏Ç",FALSE,1,NA,2017-04-21 00:28:29,FALSE,NA,"855216633975119873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HollieEcho",0,FALSE,FALSE,NA,NA
"382","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:28:13,FALSE,NA,"855216568095125506",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isaacsegura_",351,TRUE,FALSE,NA,NA
"383","RT @softastroIogy: cancer ‚ôãÔ∏è

The Perks Of Being A Wallflower (2012) https://t.co/EyLKknnAEL",FALSE,0,NA,2017-04-21 00:26:43,FALSE,NA,"855216191459274752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rose__Julia",376,TRUE,FALSE,NA,NA
"384","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:26:37,FALSE,NA,"855216165655728128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","queeenjae",351,TRUE,FALSE,NA,NA
"385","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:25:45,FALSE,NA,"855215944653819910",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasmine_dani13",351,TRUE,FALSE,NA,NA
"386","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:25:03,FALSE,NA,"855215768874700800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amydavissssss",351,TRUE,FALSE,NA,NA
"387","RT @fiImart: ‚ÄúThings change. And friends leave. Life doesn't stop for anybody.‚Äù 

The Perks of Being a Wallflower (2012) https://t.co/Xbewe‚Ä¶",FALSE,0,NA,2017-04-21 00:23:58,FALSE,NA,"855215498447003649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deadbuttxrfly",799,TRUE,FALSE,NA,NA
"388","@TheHufflePuffle THIS IS SO COOL LINDS! color: blue . Things I like: musicals, movies, milkshakes. Favorite book, p‚Ä¶ https://t.co/aoWSAtJ14E",FALSE,1,"TheHufflePuffle",2017-04-21 00:22:24,TRUE,"855210496122908674","855215105079996416","2844372958","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","areadersworld",0,FALSE,FALSE,NA,NA
"389","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:19:42,FALSE,NA,"855214422318501889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","suprizeitsME",351,TRUE,FALSE,NA,NA
"390","The Perks of Being a Wallflower! Almost done, last 20 pages.",FALSE,0,NA,2017-04-21 00:19:17,FALSE,NA,"855214319864172544",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","putrileenaz",0,FALSE,FALSE,NA,NA
"391","we accept the love we think we deserve. -The Perks Of Being A Wallflower",FALSE,0,NA,2017-04-21 00:18:23,FALSE,NA,"855214090762977282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlliaNicoleXo",0,FALSE,FALSE,NA,NA
"392","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:14:40,FALSE,NA,"855213156561321984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harvestmoon28",351,TRUE,FALSE,NA,NA
"393","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:13:53,FALSE,NA,"855212961455099904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AshleighVallely",351,TRUE,FALSE,NA,NA
"394","the perks of being a wallflower is gr8",FALSE,0,NA,2017-04-21 00:06:48,FALSE,NA,"855211176736808961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spookyvictoria1",0,FALSE,FALSE,NA,NA
"395","RT @evanhnsens: the perks of being a wallflower (2012)

lovely lovely lovely movie. and the book was just as wonderful. so beautiful https:‚Ä¶",FALSE,0,NA,2017-04-21 00:05:06,FALSE,NA,"855210749957984258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lightforforever",2,TRUE,FALSE,NA,NA
"396","@AnnieR06 The Perks of Being a Wallflower.  It won't make you laugh, but you'll be happy you watched it.",FALSE,1,"AnnieR06",2017-04-21 00:04:01,FALSE,"854891968199086080","855210476011212800","613043909","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","N8Heddleston",0,FALSE,FALSE,NA,NA
"397","RT @evanhnsens: the perks of being a wallflower (2012)

lovely lovely lovely movie. and the book was just as wonderful. so beautiful https:‚Ä¶",FALSE,0,NA,2017-04-21 00:03:59,FALSE,NA,"855210468809490432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bendankhauser",2,TRUE,FALSE,NA,NA
"398","RT @beaufilms: ""And in this moment I swear, we are infinite.‚Äù

The Perks of Being a Wallflower (2012) https://t.co/GvOajSOSVU",FALSE,0,NA,2017-04-21 00:01:40,FALSE,NA,"855209884517781504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","potatolizzie",381,TRUE,FALSE,NA,NA
"399","RT @btsviktogwarts: the perks of being a wallflower https://t.co/hs5Eh8CMBV",FALSE,0,NA,2017-04-21 00:00:35,FALSE,NA,"855209614027173890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","impalaprobs",1,TRUE,FALSE,NA,NA
"400","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-20 23:58:31,FALSE,NA,"855209093052628992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MccullockHannah",351,TRUE,FALSE,NA,NA
